"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"4","BDECEEFB","GO101_25_6950","Greenport","6950","0","54C9D02A","0"
"4","BDECEEFB","GO101_25_6951","Ronkonkoma","6951","1","54C9D02AW","0"
"4","BDECEEFB","GO101_25_6952","Greenport","6952","0","54C9D02A","0"
"4","BDECEEFB","GO101_25_6955","Ronkonkoma","6955","1","54C9D02AW","0"
"10","E17E66F5","GO101_25_7500","Huntington","7500","0","91BE652D","0"
"10","97006089","GO101_25_7500_1","Huntington","7500","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7501","Penn Station","7501","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7502","Huntington","7502","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7503","Penn Station","7503","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7504","Huntington","7504","0","91BE652D","0"
"10","97006089","GO101_25_7504_1","Huntington","7504","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7505","Penn Station","7505","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7506","Huntington","7506","0","91BE652D","0"
"10","97006089","GO101_25_7506_1","Huntington","7506","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7507","Penn Station","7507","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7508","Huntington","7508","0","91BE652D","0"
"10","97006089","GO101_25_7508_1","Huntington","7508","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7509","Penn Station","7509","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7510","Huntington","7510","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7511","Penn Station","7511","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7512","Huntington","7512","0","91BE652D","0"
"10","97006089","GO101_25_7512_1","Huntington","7512","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7513","Penn Station","7513","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7514","Huntington","7514","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7515","Penn Station","7515","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7516","Huntington","7516","0","91BE652D","0"
"10","97006089","GO101_25_7516_1","Huntington","7516","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7517","Penn Station","7517","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7518","Huntington","7518","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7519","Penn Station","7519","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7520","Huntington","7520","0","91BE652D","0"
"10","97006089","GO101_25_7520_1","Huntington","7520","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7521","Penn Station","7521","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7522","Huntington","7522","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7523","Penn Station","7523","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7524","Huntington","7524","0","91BE652D","0"
"10","97006089","GO101_25_7524_1","Huntington","7524","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7525","Penn Station","7525","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7526","Huntington","7526","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7527","Penn Station","7527","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7528","Huntington","7528","0","91BE652D","0"
"10","97006089","GO101_25_7528_1","Huntington","7528","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7529","Penn Station","7529","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7530","Huntington","7530","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7531","Penn Station","7531","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7550","Huntington","7550","0","91BE652D","0"
"10","97006089","GO101_25_7550_1","Huntington","7550","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7551","Penn Station","7551","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7552","Huntington","7552","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7553","Penn Station","7553","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7554","Huntington","7554","0","91BE652D","0"
"10","97006089","GO101_25_7554_1","Huntington","7554","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7555","Penn Station","7555","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7556","Huntington","7556","0","91BE652D","0"
"10","97006089","GO101_25_7556_1","Huntington","7556","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7557","Penn Station","7557","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7558","Huntington","7558","0","91BE652D","0"
"10","97006089","GO101_25_7558_1","Huntington","7558","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7559","Penn Station","7559","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7560","Huntington","7560","0","91BE652D","0"
"10","97006089","GO101_25_7560_1","Huntington","7560","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7561","Penn Station","7561","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7562","Huntington","7562","0","91BE652D","0"
"10","97006089","GO101_25_7562_1","Huntington","7562","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7563","Penn Station","7563","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7564","Huntington","7564","0","91BE652D","0"
"10","97006089","GO101_25_7564_1","Huntington","7564","0","91BE652D","0"
"10","7AD37633","GO101_25_7565","Penn Station","7565","1","91BE652DW","0"
"10","10106953","GO101_25_7565_1","Penn Station","7565","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7566","Huntington","7566","0","91BE652D","0"
"10","97006089","GO101_25_7566_1","Huntington","7566","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7567","Penn Station","7567","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7568","Huntington","7568","0","91BE652D","0"
"10","97006089","GO101_25_7568_1","Huntington","7568","0","91BE652D","0"
"10","7AD37633","GO101_25_7569","Penn Station","7569","1","91BE652DW","0"
"10","10106953","GO101_25_7569_1","Penn Station","7569","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7570","Huntington","7570","0","91BE652D","0"
"10","97006089","GO101_25_7570_1","Huntington","7570","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7571","Penn Station","7571","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7572","Huntington","7572","0","91BE652D","0"
"10","97006089","GO101_25_7572_1","Huntington","7572","0","91BE652D","0"
"10","7AD37633","GO101_25_7573","Penn Station","7573","1","91BE652DW","0"
"10","10106953","GO101_25_7573_1","Penn Station","7573","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7574","Huntington","7574","0","91BE652D","0"
"10","97006089","GO101_25_7574_1","Huntington","7574","0","91BE652D","0"
"10","7AD37633","GO101_25_7575","Penn Station","7575","1","91BE652DW","0"
"10","10106953","GO101_25_7575_1","Penn Station","7575","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7576","Huntington","7576","0","91BE652D","0"
"10","97006089","GO101_25_7576_1","Huntington","7576","0","91BE652D","0"
"10","7AD37633","GO101_25_7577","Penn Station","7577","1","91BE652DW","0"
"10","10106953","GO101_25_7577_1","Penn Station","7577","1","91BE652DW","0"
