"service_id","date","exception_type"
"E29017C0","20250829","1"
"DD09D08C","20250521","1"
"DD09D08C","20250522","1"
"DD09D08C","20250527","1"
"DD09D08C","20250528","1"
"DD09D08C","20250529","1"
"DD09D08C","20250602","1"
"DD09D08C","20250603","1"
"DD09D08C","20250604","1"
"DD09D08C","20250605","1"
"DD09D08C","20250609","1"
"DD09D08C","20250610","1"
"DD09D08C","20250611","1"
"DD09D08C","20250612","1"
"DD09D08C","20250616","1"
"DD09D08C","20250617","1"
"DD09D08C","20250618","1"
"DD09D08C","20250619","1"
"C46F062E","20250521","1"
"C46F062E","20250522","1"
"C46F062E","20250523","1"
"C46F062E","20250528","1"
"C46F062E","20250529","1"
"C46F062E","20250530","1"
"C46F062E","20250603","1"
"C46F062E","20250604","1"
"C46F062E","20250605","1"
"C46F062E","20250606","1"
"C46F062E","20250610","1"
"C46F062E","20250611","1"
"C46F062E","20250612","1"
"C46F062E","20250613","1"
"C46F062E","20250617","1"
"C46F062E","20250618","1"
"C46F062E","20250619","1"
"C46F062E","20250620","1"
"46546FC9","20250524","1"
"46546FC9","20250525","1"
"46546FC9","20250526","1"
"46546FC9","20250601","1"
"46546FC9","20250607","1"
"46546FC9","20250608","1"
"46546FC9","20250614","1"
"46546FC9","20250615","1"
"46546FC9","20250621","1"
"46546FC9","20250622","1"
"46546FC9","20250628","1"
"46546FC9","20250629","1"
"46546FC9","20250704","1"
"46546FC9","20250705","1"
"46546FC9","20250706","1"
"46546FC9","20250712","1"
"46546FC9","20250713","1"
"46546FC9","20250719","1"
"46546FC9","20250720","1"
"46546FC9","20250726","1"
"46546FC9","20250727","1"
"46546FC9","20250802","1"
"46546FC9","20250803","1"
"46546FC9","20250809","1"
"46546FC9","20250810","1"
"46546FC9","20250816","1"
"46546FC9","20250817","1"
"46546FC9","20250823","1"
"46546FC9","20250824","1"
"46546FC9","20250830","1"
"46546FC9","20250831","1"
"46546FC9","20250901","1"
"10106953","20250531","1"
"A70DA857","20250530","1"
"167C0A26","20250523","1"
"167C0A26","20250606","1"
"167C0A26","20250613","1"
"167C0A26","20250620","1"
"167C0A26","20250623","1"
"167C0A26","20250624","1"
"167C0A26","20250625","1"
"167C0A26","20250626","1"
"167C0A26","20250627","1"
"167C0A26","20250630","1"
"167C0A26","20250701","1"
"167C0A26","20250702","1"
"167C0A26","20250703","1"
"167C0A26","20250707","1"
"167C0A26","20250708","1"
"167C0A26","20250709","1"
"167C0A26","20250710","1"
"167C0A26","20250711","1"
"167C0A26","20250714","1"
"167C0A26","20250715","1"
"167C0A26","20250716","1"
"167C0A26","20250717","1"
"167C0A26","20250718","1"
"167C0A26","20250721","1"
"167C0A26","20250722","1"
"167C0A26","20250723","1"
"167C0A26","20250724","1"
"167C0A26","20250725","1"
"167C0A26","20250728","1"
"167C0A26","20250729","1"
"167C0A26","20250730","1"
"167C0A26","20250731","1"
"167C0A26","20250801","1"
"167C0A26","20250804","1"
"167C0A26","20250805","1"
"167C0A26","20250806","1"
"167C0A26","20250807","1"
"167C0A26","20250808","1"
"167C0A26","20250811","1"
"167C0A26","20250812","1"
"167C0A26","20250813","1"
"167C0A26","20250814","1"
"167C0A26","20250815","1"
"167C0A26","20250818","1"
"167C0A26","20250819","1"
"167C0A26","20250820","1"
"167C0A26","20250821","1"
"167C0A26","20250822","1"
"167C0A26","20250825","1"
"167C0A26","20250826","1"
"167C0A26","20250827","1"
"167C0A26","20250828","1"
"167C0A26","20250829","1"
"FB54FA23","20250521","1"
"FB54FA23","20250522","1"
"FB54FA23","20250527","1"
"FB54FA23","20250528","1"
"FB54FA23","20250529","1"
"FB54FA23","20250530","1"
"FB54FA23","20250602","1"
"FB54FA23","20250603","1"
"FB54FA23","20250604","1"
"FB54FA23","20250605","1"
"FB54FA23","20250609","1"
"FB54FA23","20250610","1"
"FB54FA23","20250611","1"
"FB54FA23","20250612","1"
"FB54FA23","20250616","1"
"FB54FA23","20250617","1"
"FB54FA23","20250618","1"
"FB54FA23","20250619","1"
"474693CA","20250524","1"
"474693CA","20250525","1"
"474693CA","20250526","1"
"474693CA","20250607","1"
"474693CA","20250608","1"
"474693CA","20250614","1"
"474693CA","20250615","1"
"474693CA","20250621","1"
"474693CA","20250622","1"
"474693CA","20250628","1"
"474693CA","20250629","1"
"474693CA","20250704","1"
"474693CA","20250705","1"
"474693CA","20250706","1"
"474693CA","20250712","1"
"474693CA","20250713","1"
"474693CA","20250719","1"
"474693CA","20250720","1"
"474693CA","20250726","1"
"474693CA","20250727","1"
"474693CA","20250802","1"
"474693CA","20250803","1"
"474693CA","20250809","1"
"474693CA","20250810","1"
"474693CA","20250816","1"
"474693CA","20250817","1"
"474693CA","20250823","1"
"474693CA","20250824","1"
"474693CA","20250830","1"
"474693CA","20250831","1"
"474693CA","20250901","1"
"97006089","20250531","1"
"97006089","20250601","1"
"4ABAEB23","20250601","1"
"408773A6","20250524","1"
"408773A6","20250525","1"
"408773A6","20250526","1"
"408773A6","20250531","1"
"408773A6","20250607","1"
"408773A6","20250608","1"
"408773A6","20250614","1"
"408773A6","20250615","1"
"408773A6","20250621","1"
"408773A6","20250622","1"
"408773A6","20250628","1"
"408773A6","20250629","1"
"408773A6","20250704","1"
"408773A6","20250705","1"
"408773A6","20250706","1"
"408773A6","20250712","1"
"408773A6","20250713","1"
"408773A6","20250719","1"
"408773A6","20250720","1"
"408773A6","20250726","1"
"408773A6","20250727","1"
"408773A6","20250802","1"
"408773A6","20250803","1"
"408773A6","20250809","1"
"408773A6","20250810","1"
"408773A6","20250816","1"
"408773A6","20250817","1"
"408773A6","20250823","1"
"408773A6","20250824","1"
"408773A6","20250830","1"
"408773A6","20250831","1"
"408773A6","20250901","1"
"3623A3A3","20250521","1"
"3623A3A3","20250522","1"
"3623A3A3","20250523","1"
"3623A3A3","20250527","1"
"3623A3A3","20250528","1"
"3623A3A3","20250529","1"
"3623A3A3","20250530","1"
"3623A3A3","20250603","1"
"3623A3A3","20250604","1"
"3623A3A3","20250605","1"
"3623A3A3","20250606","1"
"3623A3A3","20250609","1"
"3623A3A3","20250610","1"
"3623A3A3","20250611","1"
"3623A3A3","20250612","1"
"3623A3A3","20250613","1"
"3623A3A3","20250616","1"
"3623A3A3","20250617","1"
"3623A3A3","20250618","1"
"3623A3A3","20250619","1"
"3623A3A3","20250620","1"
"3623A3A3","20250623","1"
"3623A3A3","20250624","1"
"3623A3A3","20250625","1"
"3623A3A3","20250626","1"
"3623A3A3","20250627","1"
"3623A3A3","20250630","1"
"3623A3A3","20250701","1"
"3623A3A3","20250702","1"
"3623A3A3","20250703","1"
"3623A3A3","20250707","1"
"3623A3A3","20250708","1"
"3623A3A3","20250709","1"
"3623A3A3","20250710","1"
"3623A3A3","20250711","1"
"3623A3A3","20250714","1"
"3623A3A3","20250715","1"
"3623A3A3","20250716","1"
"3623A3A3","20250717","1"
"3623A3A3","20250718","1"
"3623A3A3","20250721","1"
"3623A3A3","20250722","1"
"3623A3A3","20250723","1"
"3623A3A3","20250724","1"
"3623A3A3","20250725","1"
"3623A3A3","20250728","1"
"3623A3A3","20250729","1"
"3623A3A3","20250730","1"
"3623A3A3","20250731","1"
"3623A3A3","20250801","1"
"3623A3A3","20250804","1"
"3623A3A3","20250805","1"
"3623A3A3","20250806","1"
"3623A3A3","20250807","1"
"3623A3A3","20250808","1"
"3623A3A3","20250811","1"
"3623A3A3","20250812","1"
"3623A3A3","20250813","1"
"3623A3A3","20250814","1"
"3623A3A3","20250815","1"
"3623A3A3","20250818","1"
"3623A3A3","20250819","1"
"3623A3A3","20250820","1"
"3623A3A3","20250821","1"
"3623A3A3","20250822","1"
"3623A3A3","20250825","1"
"3623A3A3","20250826","1"
"3623A3A3","20250827","1"
"3623A3A3","20250828","1"
"3623A3A3","20250829","1"
"939CA82E","20250602","1"
"1A917BC6","20250527","1"
"1A917BC6","20250609","1"
"1A917BC6","20250616","1"
"1A917BC6","20250623","1"
"1A917BC6","20250624","1"
"1A917BC6","20250625","1"
"1A917BC6","20250626","1"
"1A917BC6","20250627","1"
"1A917BC6","20250630","1"
"1A917BC6","20250701","1"
"1A917BC6","20250702","1"
"1A917BC6","20250703","1"
"1A917BC6","20250707","1"
"1A917BC6","20250708","1"
"1A917BC6","20250709","1"
"1A917BC6","20250710","1"
"1A917BC6","20250711","1"
"1A917BC6","20250714","1"
"1A917BC6","20250715","1"
"1A917BC6","20250716","1"
"1A917BC6","20250717","1"
"1A917BC6","20250718","1"
"1A917BC6","20250721","1"
"1A917BC6","20250722","1"
"1A917BC6","20250723","1"
"1A917BC6","20250724","1"
"1A917BC6","20250725","1"
"1A917BC6","20250728","1"
"1A917BC6","20250729","1"
"1A917BC6","20250730","1"
"1A917BC6","20250731","1"
"1A917BC6","20250801","1"
"1A917BC6","20250804","1"
"1A917BC6","20250805","1"
"1A917BC6","20250806","1"
"1A917BC6","20250807","1"
"1A917BC6","20250808","1"
"1A917BC6","20250811","1"
"1A917BC6","20250812","1"
"1A917BC6","20250813","1"
"1A917BC6","20250814","1"
"1A917BC6","20250815","1"
"1A917BC6","20250818","1"
"1A917BC6","20250819","1"
"1A917BC6","20250820","1"
"1A917BC6","20250821","1"
"1A917BC6","20250822","1"
"1A917BC6","20250825","1"
"1A917BC6","20250826","1"
"1A917BC6","20250827","1"
"1A917BC6","20250828","1"
"1A917BC6","20250829","1"
"93C4C133","20250521","1"
"93C4C133","20250522","1"
"93C4C133","20250523","1"
"93C4C133","20250528","1"
"93C4C133","20250529","1"
"93C4C133","20250530","1"
"93C4C133","20250602","1"
"93C4C133","20250603","1"
"93C4C133","20250604","1"
"93C4C133","20250605","1"
"93C4C133","20250606","1"
"93C4C133","20250610","1"
"93C4C133","20250611","1"
"93C4C133","20250612","1"
"93C4C133","20250613","1"
"93C4C133","20250617","1"
"93C4C133","20250618","1"
"93C4C133","20250619","1"
